id,btc_to_usd_rate,eth_to_usd_rate,ltc_to_usd_rate,data_date,ts
1,44195.13,2352.8,74.75,2/1/2024,08:50.1
2,42288.58,2281.03,72.81,1/1/2024,08:50.9
3,44972.81,2356.27,72.99,3/1/2024,08:51.0
4,44198.35,2269.48,66.49,5/1/2024,08:51.3
5,43992.79,2241.81,65.69,7/1/2024,08:51.4
6,46120.79,2340.77,67,10/1/2024,08:51.7
7,43954.52,2222.86,64.31,8/1/2024,08:51.8
8,44187.76,2271.72,66.16,6/1/2024,08:51.9
9,46995.09,2332.52,67.8,9/1/2024,08:52.1
10,46678.54,2584.85,70.13,11/1/2024,08:52.1
11,46344.96,2618.37,71.9,12/1/2024,08:52.4
12,42775.1,2522.02,72.96,13/1/2024,08:52.7
13,42839.32,2578.96,72,14/1/2024,08:52.9
14,41680,2468.6,69.76,15/1/2024,08:53.1
15,42481.69,2509.85,69.08,16/1/2024,08:54.3
16,43130.35,2586.46,69.4,17/1/2024,09:07.7
17,41623.94,2489.98,71.23,20/1/2024,09:08.7
18,41290.57,2468.82,68.06,19/1/2024,09:08.8
19,41666.67,2470.51,71.31,21/1/2024,09:09.5
20,42737.68,2528.02,69.44,18/1/2024,09:09.9
21,39524.27,2311.52,67.29,23/1/2024,09:09.9
22,41553.92,2455.09,71.67,22/1/2024,09:10.4
23,39878.28,2241.1,65.47,24/1/2024,09:10.5
24,41814.96,2267.47,67.03,27/1/2024,09:12.1
25,42126.55,2268.12,68.07,28/1/2024,09:12.1
26,39941.66,2217.29,65.44,26/1/2024,09:12.2
27,40079.87,2234.34,66.11,25/1/2024,09:12.2
28,43303.3,2317.63,68.44,30/1/2024,09:12.5
29,42034.57,2256.47,68.36,29/1/2024,09:12.6
30,42937.72,2352.17,67.48,31/1/2024,09:12.9
31,42545.47,2281.55,66.72,1/2/2024,09:40.8
32,43007.82,2295.97,68.81,4/2/2024,09:41.3
33,43080.38,2303.66,67.29,2/2/2024,09:41.4
34,43183.62,2308.06,68.02,3/2/2024,09:41.5
35,42571.91,2288.82,66.91,5/2/2024,09:41.8
36,42658.3,2298.93,67.48,6/2/2024,09:41.8
37,43097.16,2372.09,68.27,7/2/2024,09:42.1
38,45304.83,2419.78,70.54,9/2/2024,09:42.3
39,44335,2424.71,68.61,8/2/2024,09:42.3
40,48321.14,2508.49,71.59,12/2/2024,09:43.9
41,47157.01,2487.87,70.67,10/2/2024,09:43.9
42,49941.95,2661.13,72.91,13/2/2024,09:43.9
43,47767.06,2501.08,70.84,11/2/2024,09:43.9
44,51858.51,2777.37,69.89,15/2/2024,09:45.8
45,49724.55,2641.84,69,14/2/2024,09:45.8
46,51935.23,2825.88,69.84,16/2/2024,10:10.2
47,52162.65,2804.09,70.75,17/2/2024,10:10.2
48,51666.23,2787.12,70,18/2/2024,10:11.5
49,52153.63,2881.91,70.81,19/2/2024,10:11.5
50,51260.29,2969.75,68.76,23/2/2024,10:12.2
51,51851.46,2968.37,68.92,22/2/2024,10:12.2
52,51787.05,2944.94,71.32,20/2/2024,10:12.9
53,50746.98,2921.76,68.78,24/2/2024,10:12.9
54,52277.53,3015.53,69.72,21/2/2024,10:13.0
55,51730.96,3113.37,70.17,26/2/2024,10:13.5
56,57077.08,3244.35,74.04,28/2/2024,10:14.7
57,62520.06,3386.64,74.58,29/2/2024,10:14.7
58,51568.63,2992.41,70.4,25/2/2024,10:14.7
59,54530.32,3178.28,71.98,27/2/2024,10:14.7
60,61179.03,3340.15,79.99,1/3/2024,10:16.8
61,62045.78,3423.77,94.88,3/3/2024,10:39.5
62,68356.7,3632.92,89.06,5/3/2024,10:40.4
63,63155.74,3489.95,90.75,4/3/2024,10:40.4
64,63802.15,3557.42,82.04,6/3/2024,10:41.4
65,62439.74,3436.37,84.99,2/3/2024,10:41.6
66,66938.21,3875.42,88.16,8/3/2024,10:42.0
67,66115.48,3822.1,85.94,7/3/2024,10:42.5
68,68289.16,3892.62,88.54,9/3/2024,10:42.6
69,72110.98,4066.95,103.87,12/3/2024,10:44.7
70,69032.8,3882.48,87.51,11/3/2024,10:44.7
71,71473.43,3980.31,97.57,13/3/2024,10:44.7
72,68480.01,3913.84,91,10/3/2024,10:44.9
73,71364.58,3880.45,94.07,15/3/2024,10:45.0
74,69514.87,3743.29,89.78,16/3/2024,10:45.2
75,73135.04,4007.79,97.26,14/3/2024,10:45.3
76,68354.29,3642.56,85.87,18/3/2024,11:10.5
77,65254.22,3520.24,84.05,17/3/2024,11:10.6
78,67609.39,3520.52,87.87,19/3/2024,11:10.6
79,67855.88,3517.02,84.69,21/3/2024,11:11.0
80,65478.98,3491.78,85.71,22/3/2024,11:11.0
81,61902.57,3156.94,78.41,20/3/2024,11:11.1
82,63814.56,3337.38,83.43,23/3/2024,11:11.5
83,67212.69,3454.88,89.66,25/3/2024,11:12.1
84,69895.6,3590.61,90.59,26/3/2024,11:12.9
85,63998.87,3330.28,85.25,24/3/2024,11:12.9
86,69994.9,3587.5,95.74,27/3/2024,11:13.1
87,69437.16,3499.62,93.4,28/3/2024,11:13.1
88,70804.06,3561.12,94.15,29/3/2024,11:13.3
89,69903.74,3511.21,109.31,30/3/2024,11:13.5
90,69587.86,3505.76,102.9,31/3/2024,11:14.5
91,69711,3505.95,99.28,2/4/2024,11:39.6
92,65984.18,3312.42,98.36,4/4/2024,11:40.1
93,65472,3279.71,106.77,3/4/2024,11:41.0
94,67856.51,3319.1,97.88,6/4/2024,11:41.0
95,71313.8,3645.55,105.04,1/4/2024,11:41.5
96,69350.36,3453.69,101.24,8/4/2024,11:41.6
97,68919.57,3352.87,101.65,7/4/2024,11:42.4
98,68528.69,3329.41,98.47,5/4/2024,11:42.8
99,71616.31,3694.26,103.43,9/4/2024,11:43.3
100,67148.62,3238.98,86.16,13/4/2024,11:43.5
101,70638.4,3546.07,96.72,11/4/2024,11:43.6
102,69115.79,3504.24,97.53,10/4/2024,11:43.6
103,70020.71,3503.06,98.76,12/4/2024,11:43.9
104,64021.36,3012.01,77.48,14/4/2024,11:43.9
105,65764.56,3158.2,79.8,15/4/2024,11:44.9
106,63452.18,3103.4,78.14,16/4/2024,12:11.9
107,63814.94,3085.41,79.96,17/4/2024,12:12.1
108,63514.84,3065.8,80.8,19/4/2024,12:14.1
109,64960.82,3156.62,85.06,21/4/2024,12:14.2
110,64952.92,3148.06,84.17,22/4/2024,12:14.2
111,63841.96,3057.9,80.89,20/4/2024,12:14.2
112,61275.73,2984.9,80.17,18/4/2024,12:14.3
113,66856.07,3201.67,85.44,23/4/2024,12:14.3
114,66418,3219.42,85.02,24/4/2024,12:16.7
115,63109.76,3262.99,83.98,29/4/2024,12:16.7
116,63845.01,3215.89,83.48,30/4/2024,12:16.7
117,63742.39,3130.04,88.08,27/4/2024,12:16.7
118,64484.44,3155.27,83.75,26/4/2024,12:16.7
119,63422.34,3253.04,83.83,28/4/2024,12:16.7
120,64255.77,3139.27,83.2,25/4/2024,12:16.7
121,60621.195,3011.24,79.44,1/5/2024,12:42.0
122,58267.81,2968.18,80.04,2/5/2024,12:42.5
123,62913.03,3104.11,81.9,4/5/2024,12:42.6
124,59070.3,2986.12,80.04,3/5/2024,12:42.6
125,64023.45,3136.77,81.34,6/5/2024,12:43.0
126,63161.35,3062.69,80.77,7/5/2024,12:44.2
127,61169.53,2972.81,81.67,9/5/2024,12:44.5
128,63902.88,3117.52,81.67,5/5/2024,12:44.6
129,63073.55,3035.92,83.05,10/5/2024,12:44.8
130,60814.64,2911.77,81.36,12/5/2024,12:46.2
131,62315.75,3006.09,80.82,8/5/2024,12:46.2
132,60787.99,2909.38,80.12,11/5/2024,12:46.2
133,62920.22,2950.09,80.61,14/5/2024,12:46.4
134,61453.01,2927.72,81.38,13/5/2024,12:46.4
135,61539.7,2880.39,78.75,15/5/2024,12:46.6
136,66244.68,3033.23,82.49,16/5/2024,13:14.4
137,66260.04,3070.83,82.38,20/5/2024,13:15.1
138,66923.87,3123.76,83.86,19/5/2024,13:15.1
139,67046.34,3093.2,84.17,18/5/2024,13:15.5
140,71432.16,3661.51,88.64,21/5/2024,13:15.5
141,65252.17,2944.86,82.44,17/5/2024,13:15.5
142,67932.79,3780.42,85.41,24/5/2024,13:18.2
143,69289.69,3749.23,84.99,26/5/2024,13:18.2
144,68487.44,3726.87,84.98,25/5/2024,13:18.2
145,68470.8,3821.01,83.77,27/5/2024,13:18.2
146,69366.31,3890.72,85.18,28/5/2024,13:18.2
147,69109.93,3736.02,85.75,23/5/2024,13:18.3
148,70146.89,3789.41,88.24,22/5/2024,13:18.4
149,67569.44,3762.07,83.47,30/5/2024,13:20.1
150,68322.26,3840.18,83.37,29/5/2024,13:20.1
151,67473.07,3758.44,83.13,1/6/2024,13:44.4
152,67719.29,3812.49,83.48,2/6/2024,13:44.9
153,70773.63,3812.04,84.18,7/6/2024,13:45.0
154,68338.58,3746.64,84.42,31/5/2024,13:45.9
155,71120.65,3866.42,85.44,6/6/2024,13:46.0
156,67731.14,3778.88,83.08,3/6/2024,13:46.2
157,70541.68,3810.24,83.67,5/6/2024,13:46.4
158,69641.08,3706.4,80.49,10/6/2024,13:47.0
159,68791.04,3766.12,82.82,4/6/2024,13:47.2
160,69326.71,3676.31,80.1,8/6/2024,13:47.2
161,68248.59,3559.14,78.49,13/6/2024,13:47.5
162,67316.52,3497.27,77.3,12/6/2024,13:47.5
163,69303.8,3680.89,79.97,9/6/2024,13:47.8
164,69547.82,3665.86,79.64,11/6/2024,13:47.8
165,66746.46,3467.9,79.12,14/6/2024,13:47.9
166,42860.58,2210.49,65.28,4/1/2024,13:51.2
167,66004.36,3479.53,77.57,15/6/2024,14:15.9
168,66192,3566.82,79.19,16/6/2024,14:16.2
169,66629.38,3622.53,78.98,17/6/2024,14:16.4
170,66574.33,3515.87,76.58,18/6/2024,14:16.8
171,65150.9,3482.07,72.63,19/6/2024,14:17.2
172,64840.89,3510.73,74.71,21/6/2024,14:18.0
173,64120.28,3520.03,74.14,22/6/2024,14:18.0
174,64945.67,3559.24,73.76,20/6/2024,14:18.5
175,64235,3494.09,74.59,23/6/2024,14:18.5
176,63169.36,3418.42,73.33,24/6/2024,14:18.7
177,60217.36,3350.6,69.67,25/6/2024,14:18.8
178,61794.47,3393.59,71.35,26/6/2024,14:18.9
179,60818.86,3369.76,70.98,27/6/2024,14:19.1
181,61611.43,3445.57,73.16,28/6/2024,14:20.2
180,60273.8,3373.75,72.75,29/6/2024,14:20.2
182,60884.44,3373.34,74.82,30/6/2024,14:21.3
183,62669.14,3432.37,75.22,1/7/2024,14:46.2
184,6945.02,126.81,39.29,3/1/2020,08:41.7
185,7174.33,130.18,41.49,2/1/2020,08:41.7
186,7348.63,134.14,42.7,5/1/2020,08:41.7
187,7165.72,128.54,41.09,1/1/2020,08:41.8
188,7334.45,134.17,42.2,4/1/2020,08:41.9
189,7343.17,135.31,43.28,6/1/2020,08:42.4
190,7764.63,144.2,45.81,7/1/2020,08:42.7
191,7813.78,137.72,44.72,10/1/2020,08:43.2
192,8160.01,143.08,46.36,8/1/2020,08:43.6
193,8048.67,140.64,45.32,9/1/2020,08:43.6
194,8017.47,142.51,49.37,12/1/2020,08:45.0
195,8198.09,144.89,49.01,11/1/2020,08:45.2
196,8195.81,147,51.63,13/1/2020,08:45.4
197,8105.23,143.45,49.56,14/1/2020,08:45.6
198,8808.81,166.27,58.4,16/1/2020,08:45.7
199,8812.58,165.74,58.4,15/1/2020,08:45.8
200,8714.77,164,57.53,17/1/2020,09:16.6
201,8908.95,174.05,59.24,19/1/2020,09:16.7
202,8899.42,169.54,60.87,18/1/2020,09:17.7
203,8697.53,166.67,57.54,20/1/2020,09:17.7
204,8628.89,166.66,57.12,21/1/2020,09:18.0
205,8385.21,162.49,54.45,24/1/2020,09:18.0
206,9439.83,175.91,60.62,29/1/2020,09:19.8
207,8595,167.58,56.09,27/1/2020,09:19.8
208,8326.8,160,52.76,26/1/2020,09:19.9
209,8427.58,162.31,54.33,25/1/2020,09:19.9
210,8665,167.79,58.2,23/1/2020,09:19.9
211,8895.95,169.78,58.47,28/1/2020,09:19.9
212,8722.03,169.29,57.49,22/1/2020,09:19.9
213,9287.9,173.41,59.66,30/1/2020,09:20.2
214,9502.71,184.52,67.84,31/1/2020,09:21.1
215,9334.98,179,67.53,1/2/2020,09:22.2
216,9164.33,188.25,67.83,5/2/2020,09:48.1
217,9380.18,183.49,70.69,2/2/2020,09:48.8
218,9613.91,204.01,72.59,6/2/2020,09:48.8
219,9763.01,212.94,73.45,7/2/2020,09:49.1
220,9888.76,223.16,76.66,9/2/2020,09:49.7
221,9851.78,222.86,74,11/2/2020,09:50.1
222,10199,229.6,77.09,10/2/2020,09:50.1
223,9325.01,188.22,69.83,3/2/2020,09:50.4
224,9807.92,223.22,74.28,8/2/2020,09:50.6
225,10270.01,237.95,76.81,12/2/2020,09:50.8
226,10371.33,285.95,83.34,15/2/2020,09:52.0
227,9280.49,189.41,69.59,4/2/2020,09:52.0
228,10236.49,268.37,80.59,14/2/2020,09:52.0
229,10351.13,266.63,81.37,13/2/2020,09:52.0
230,9911.22,264.83,76.76,16/2/2020,09:52.5
231,9920.52,258.58,74.65,17/2/2020,09:53.5
232,10188.04,283.34,77.36,19/2/2020,10:17.3
233,9700,268.2,73.43,18/2/2020,10:18.4
234,9610.05,257.2,69.49,21/2/2020,10:18.4
235,9965,275.48,79.79,24/2/2020,10:18.5
236,9593.48,258.51,70.6,20/2/2020,10:18.6
237,9667.13,261.94,74.7,23/2/2020,10:19.0
238,8778.3,223.78,60.53,27/2/2020,10:19.5
239,9660,266.24,76.12,25/2/2020,10:19.6
240,9695.66,265.79,73.42,22/2/2020,10:19.9
241,9304.99,246.28,70.92,26/2/2020,10:20.3
242,8708.61,227.13,59.98,29/2/2020,10:20.6
243,8814.9,227.6,61.77,28/2/2020,10:20.7
244,8487.33,217.34,57.64,2/3/2020,10:20.8
245,8523.33,217.36,58.07,1/3/2020,10:20.8
246,8927.45,232.12,61.47,3/3/2020,10:21.8
247,8757.83,223.72,61.01,4/3/2020,10:21.9
248,8759.99,224.49,60.36,5/3/2020,10:46.8
249,9070.18,228.6,62.02,6/3/2020,10:48.0
250,7969.45,194.62,48.54,12/3/2020,10:48.6
251,8901.37,237.75,60.55,8/3/2020,10:48.7
252,7894.68,200.63,50.22,11/3/2020,10:49.2
253,8037.73,199.51,51.11,9/3/2020,10:49.3
254,5630.93,135.44,38.01,14/3/2020,10:49.3
255,5161.16,122.11,34.41,15/3/2020,10:49.7
256,9158.51,245.53,63.36,7/3/2020,10:49.7
257,7934.56,202.76,50.49,10/3/2020,10:50.0
258,5350.3,123.33,36.28,16/3/2020,10:50.0
259,4857.1,110.3,29.99,13/3/2020,10:50.2
260,5039.95,111.36,33.37,17/3/2020,10:51.2
261,5413.88,118.59,34.86,19/3/2020,10:51.2
262,5331.71,116.06,34.18,18/3/2020,10:51.2
263,6183.82,136.65,39.08,20/3/2020,10:51.3
264,6766,138.95,40.71,25/3/2020,11:17.9
265,6210.47,133.35,38.07,21/3/2020,11:18.0
266,6691.71,136.35,39.29,26/3/2020,11:18.4
267,6279.96,132.18,39.19,29/3/2020,11:18.8
268,5678.2,119.2,34.51,23/3/2020,11:19.3
269,6198.64,132.79,38.39,22/3/2020,11:19.4
270,6493.58,137,39.11,24/3/2020,11:20.4
271,6372.36,131.56,38.17,28/3/2020,11:20.5
272,6760,139,40.6,27/3/2020,11:20.5
273,5853,124.05,37.1,30/3/2020,11:20.5
274,6424.02,133.08,39.2,1/4/2020,11:20.5
275,6666.11,136.14,39.33,2/4/2020,11:20.8
276,6406.4,132.3,38.99,31/3/2020,11:21.7
277,6804.24,141.48,39.92,3/4/2020,11:21.7
278,6925,144.49,40.82,5/4/2020,11:21.7
279,6741.99,141.48,40.49,4/4/2020,11:25.8
280,7370.38,173.43,46.59,9/4/2020,11:48.9
281,6889.78,158.68,42.6,12/4/2020,11:48.9
282,7341.55,171.56,45.12,7/4/2020,11:49.0
283,6871.83,158.1,42.37,11/4/2020,11:49.2
284,7293.23,169.71,46.45,10/4/2020,11:49.2
285,6908.13,158.82,42,13/4/2020,11:49.2
286,7200.01,164.54,44.77,8/4/2020,11:49.3
287,6773.28,142.79,40.37,6/4/2020,11:49.3
288,6623.62,152.76,39.3,16/4/2020,11:50.9
289,6876.92,158.68,41.22,15/4/2020,11:50.9
290,7114.76,172.58,42.6,17/4/2020,11:51.1
291,7021,170.69,42.26,18/4/2020,11:51.1
292,6860.51,156.76,41.37,14/4/2020,11:51.3
293,7130.7,180.28,42.3,20/4/2020,11:52.2
294,7275,189.92,44.39,19/4/2020,11:52.2
295,6837.22,170.39,40.15,21/4/2020,11:52.2
296,7514.99,187.92,44.55,25/4/2020,12:18.5
297,7794.74,196.88,44.53,28/4/2020,12:18.5
298,7706.4,197.8,44.64,27/4/2020,12:18.6
299,6853.67,171.05,40.69,22/4/2020,12:20.8
300,7757.18,196.64,45.79,29/4/2020,12:20.9
301,7136.81,183.1,41.87,23/4/2020,12:21.0
302,7491.5,185.65,42.99,24/4/2020,12:21.0
303,7547.61,194.42,44.4,26/4/2020,12:21.1
304,8622.72,206.18,46.36,1/5/2020,12:21.4
305,8907.85,210.24,48.16,4/5/2020,12:21.4
306,8829.42,212.08,47.11,2/5/2020,12:21.4
307,8794.99,215.74,48.86,30/4/2020,12:21.8
308,8984.69,214.25,49.26,3/5/2020,12:21.9
309,8887.81,207.02,47.07,5/5/2020,12:22.1
310,9028.78,205.5,46.62,6/5/2020,12:22.3
311,9028.89,196.82,44.5,7/5/2020,12:22.4
312,10000.37,212.5,47.43,8/5/2020,12:49.1
313,9559.98,210.06,47,10/5/2020,12:50.2
314,8729.86,187.65,42.1,11/5/2020,12:51.0
315,8803.97,189.93,42.23,13/5/2020,12:51.4
316,9320.85,199.92,43.27,14/5/2020,12:52.3
317,9810.01,211.65,47.73,9/5/2020,12:52.5
318,8534.85,185.79,41.5,12/5/2020,12:53.0
319,9849,204.3,44.16,15/5/2020,12:53.0
320,9312.1,194.66,42.7,16/5/2020,12:53.4
321,9728.52,214.86,45.32,19/5/2020,12:53.4
322,9325.81,199.1,43.21,17/5/2020,12:53.4
323,9168.84,207.3,44.25,23/5/2020,12:54.7
324,9509.4,209.95,44.23,21/5/2020,12:54.7
325,9677.45,206.99,43.64,18/5/2020,12:54.7
326,9783.57,214.8,45.77,20/5/2020,12:54.7
327,9059.32,198.61,42.69,22/5/2020,12:55.0
328,9181.09,206.61,43.86,24/5/2020,13:18.1
329,8844.41,200.76,42.23,27/5/2020,13:18.8
330,8632.93,198.01,41.76,25/5/2020,13:19.9
331,9423.85,220.55,44.5,30/5/2020,13:19.9
332,8900,204.13,43.07,26/5/2020,13:20.7
333,9417.42,230.59,45.34,1/6/2020,13:21.2
334,9609.02,220.39,44.76,29/5/2020,13:21.2
335,9705.6,243.85,47.81,31/5/2020,13:21.3
336,9208.53,208.41,43.85,28/5/2020,13:21.5
337,10237.6,248.42,48.29,2/6/2020,13:21.8
338,9521.53,237.7,46.04,3/6/2020,13:21.9
339,9668.06,244.59,47.19,4/6/2020,13:22.1
340,9791.96,243.18,47.45,5/6/2020,13:22.8
341,9613.42,240.04,46.76,6/6/2020,13:23.0
342,9670.28,241.92,46.75,7/6/2020,13:23.1
343,9750.12,244.79,46.65,8/6/2020,13:23.2
344,9894.35,248.27,46.71,11/6/2020,13:48.6
345,9227,227.84,42.78,12/6/2020,13:49.2
346,9779.7,244.04,45.89,10/6/2020,13:49.7
347,9781.51,246.55,46.5,9/6/2020,13:50.3
348,9328.63,231.34,43.96,15/6/2020,13:50.3
349,9481,238.18,45.08,14/6/2020,13:50.4
350,9432.57,230.96,43.77,16/6/2020,13:50.8
351,9464.71,237.57,44.69,13/6/2020,13:51.1
352,9457.51,233.69,44.04,18/6/2020,13:51.4
353,9526.25,235.35,43.89,17/6/2020,13:51.4
354,9300.42,228.67,42.81,20/6/2020,13:51.7
355,9376.14,231.05,43.39,19/6/2020,13:51.9
356,9267.58,227.2,42.91,22/6/2020,13:53.0
357,9355.74,228.8,43.61,21/6/2020,13:53.0
358,9690.67,243.24,44.36,23/6/2020,13:53.0
359,9623.56,243.08,44.16,24/6/2020,13:53.0
360,9285.94,234.44,42.57,25/6/2020,14:18.8
361,9242.98,231.94,42.31,26/6/2020,14:19.5
362,9002.38,220.74,41.03,28/6/2020,14:19.9
363,9188.79,227.81,41.88,30/6/2020,14:20.6
364,9155.42,229.45,43.07,27/6/2020,14:20.6
365,9239.41,231.15,41.8,2/7/2020,14:21.2
366,9059.73,224.5,41.08,4/7/2020,14:22.9
367,9113.23,224.94,41.34,29/6/2020,14:22.9
368,9091.98,226.43,41.07,3/7/2020,14:22.9
369,9135.91,225.5,40.96,1/7/2020,14:22.9
370,9074.37,227.62,41.59,6/7/2020,14:23.0
371,9343.31,241.71,44.05,7/7/2020,14:23.0
372,9253.94,239.37,43.39,8/7/2020,14:23.0
373,9446.62,247.11,45.39,9/7/2020,14:23.3
374,9138.51,229.34,42.22,5/7/2020,14:23.4
375,9236.95,242.12,44.36,10/7/2020,14:24.1
376,9235,239.18,44.74,12/7/2020,14:49.0
377,9303.38,242.81,44.76,13/7/2020,14:49.1
378,9190.8,238.35,43.29,16/7/2020,14:49.8
379,9303.04,241.58,44.33,11/7/2020,14:50.2
380,9236.91,239.25,43.84,14/7/2020,14:50.2
381,9256.94,240.4,43.87,15/7/2020,14:50.7
382,9175.83,235.69,42.45,19/7/2020,14:50.8
383,9154.29,232.59,41.87,18/7/2020,14:51.1
384,9130.93,233.47,42.07,17/7/2020,14:51.1
385,9394.14,245.64,43.78,22/7/2020,14:52.3
386,9536.2,264.28,45.06,23/7/2020,14:52.3
387,9161.05,235.77,41.89,21/7/2020,14:52.3
388,9223.51,239.8,42.69,20/7/2020,14:52.4
389,9613.24,275.56,44.96,24/7/2020,14:52.5
390,9551.21,279.62,44.09,25/7/2020,14:53.6
391,9711.79,305.55,49.23,26/7/2020,14:53.6
392,10934.22,317.52,55.86,29/7/2020,15:19.6
393,9941,311.38,48.13,27/7/2020,15:20.2
394,11048.05,322.41,53.39,28/7/2020,15:20.3
395,11115.99,335.25,56.84,31/7/2020,15:20.9
396,11351.61,346.86,58.21,1/8/2020,15:21.3
397,11108.16,318.15,55.2,30/7/2020,15:21.4
398,11810.07,387.4,61.72,2/8/2020,15:21.9
399,10911.74,366.34,55.72,3/8/2020,15:22.4
400,11197.05,389.76,57.65,5/8/2020,15:22.4
401,11233.16,386.27,58.55,4/8/2020,15:22.7
402,11756.75,401.21,58.94,6/8/2020,15:22.9
403,11773.89,395.28,59.08,7/8/2020,15:23.1
404,11606.52,379.76,57.23,8/8/2020,15:23.3
405,11899.87,395.77,58.29,11/8/2020,15:24.5
406,11688.25,390.41,57.01,10/8/2020,15:24.5
407,11773.24,401,58.46,9/8/2020,15:24.5
408,11566.44,387.27,54.54,13/8/2020,15:50.0
409,11777.5,438.83,56.84,15/8/2020,15:50.4
410,11388.88,378.92,54.1,12/8/2020,15:51.2
411,11795.95,425,57.22,14/8/2020,15:51.2
412,11860.02,432.67,59.91,16/8/2020,15:51.3
413,11918.84,433.71,63.94,17/8/2020,15:52.5
414,11954.22,422.31,65.45,19/8/2020,15:52.9
415,11529.99,388,59.09,22/8/2020,15:53.0
416,11864.26,415.92,62.82,21/8/2020,15:53.0
417,11758.87,407.6,62.13,20/8/2020,15:53.0
418,12303.98,431.5,67.29,18/8/2020,15:53.7
419,11672.92,395.52,60.28,23/8/2020,15:54.0
420,11463.27,386.12,58.09,27/8/2020,15:55.1
421,11753.26,409.31,62.05,25/8/2020,15:55.1
422,11324.92,383.26,58.35,26/8/2020,15:55.1
423,11650.01,390.78,60.61,24/8/2020,15:55.1
424,11463.87,398.24,56.94,30/8/2020,16:20.5
425,11716,428.92,62.9,31/8/2020,16:21.0
426,11535,395.35,57.4,29/8/2020,16:21.4
427,11330.56,383.27,56.16,28/8/2020,16:21.7
